epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,5245.14,1.09432,0.98086,0.66855,0.96676,0.94492,0.713,0.79545,0.56673,0.94459,0.70853,0.77384,0.42771,0.9282,0.7966,0.59685,0.96078,0.0074755,0.0074755,0.0074755
53,5342.13,1.09392,0.98148,0.65916,0.96829,0.94216,0.71691,0.80811,0.57831,0.94915,0.72127,0.78679,0.42901,0.93325,0.80887,0.58294,0.95918,0.007426,0.007426,0.007426
54,5437.29,1.10449,0.94919,0.66712,0.97192,0.95607,0.71394,0.8026,0.56877,0.96279,0.71394,0.79563,0.42464,0.94853,0.8993,0.5905,0.96414,0.0073765,0.0073765,0.0073765
55,5534.51,1.08918,0.97226,0.66271,0.97312,0.93289,0.71373,0.80106,0.56424,0.92951,0.70932,0.78257,0.42263,0.94325,0.80684,0.5959,0.95968,0.007327,0.007327,0.007327
56,5630.8,1.08653,0.96969,0.65742,0.96358,0.95417,0.70171,0.80201,0.5663,0.96318,0.70348,0.78569,0.42191,0.93848,0.86758,0.59598,0.95596,0.0072775,0.0072775,0.0072775
57,5726.31,1.0811,0.9351,0.64408,0.96351,0.94365,0.71149,0.80759,0.57914,0.94041,0.70905,0.77607,0.42511,0.90888,0.84797,0.57307,0.96074,0.007228,0.007228,0.007228
58,5822.71,1.0794,0.94118,0.65031,0.96623,0.9636,0.71193,0.79695,0.5605,0.9698,0.70171,0.77694,0.42722,0.95592,0.80958,0.59842,0.95938,0.0071785,0.0071785,0.0071785
59,5919.86,1.0682,0.93392,0.6509,0.96222,0.92707,0.70905,0.79608,0.56366,0.95037,0.69193,0.78021,0.43421,0.94403,0.77684,0.58973,0.98169,0.007129,0.007129,0.007129
60,6016.53,1.06819,0.94539,0.64944,0.96569,0.95575,0.70416,0.79997,0.58106,0.95243,0.70171,0.78899,0.43298,0.91646,0.85392,0.5637,0.9481,0.0070795,0.0070795,0.0070795
61,6113.09,1.06964,0.96402,0.65586,0.95673,0.9358,0.71394,0.79217,0.56163,0.9358,0.71394,0.78428,0.43679,0.95481,0.76404,0.58207,0.97753,0.00703,0.00703,0.00703
62,6209.29,1.07056,0.93361,0.64262,0.96728,0.97665,0.71599,0.80707,0.56638,0.97336,0.71461,0.79235,0.42921,0.9339,0.89735,0.56361,0.96748,0.0069805,0.0069805,0.0069805
63,6305.13,1.07381,0.94759,0.64903,0.96711,0.95131,0.71638,0.80313,0.56746,0.94482,0.71149,0.78356,0.4232,0.92285,0.85256,0.58046,0.97028,0.006931,0.006931,0.006931
64,6400.37,1.05129,0.93447,0.63605,0.95971,0.9505,0.70416,0.79956,0.55885,0.95319,0.69704,0.78607,0.41715,0.95505,0.8424,0.58855,0.98318,0.0068815,0.0068815,0.0068815
65,6496.23,1.05315,0.95598,0.64019,0.94972,0.95694,0.70645,0.79854,0.56296,0.95135,0.71722,0.79702,0.42555,0.93671,0.88945,0.57297,0.95742,0.006832,0.006832,0.006832
66,6590.71,1.07039,0.94207,0.64529,0.96307,0.9597,0.69872,0.80862,0.57886,0.95335,0.69682,0.7918,0.4398,0.9302,0.78537,0.57361,0.97514,0.0067825,0.0067825,0.0067825
67,6686.01,1.06732,0.94343,0.64201,0.96112,0.9599,0.70416,0.81153,0.57414,0.96667,0.7066,0.79665,0.43904,0.913,0.81654,0.58143,0.96504,0.006733,0.006733,0.006733
68,6785.95,1.06801,0.93713,0.6422,0.96468,0.96169,0.70171,0.81031,0.58862,0.96263,0.70171,0.80193,0.43539,0.89162,0.82839,0.5615,0.95016,0.0066835,0.0066835,0.0066835
